current
0,500,500,1
10,500,500,1
20,500,500,1
30,500,500,1
40,500,500,1
50,500,500,1
60,500,500,1
70,500,500,1
80,500,500,1
90,500,500,1
100,500,500,1
110,500,500,1
120,500,500,1
130,500,500,1
140,500,500,1
150,500,500,1
160,500,500,1
170,500,500,1
180,500,500,1
190,500,500,1
200,500,500,1
210,500,500,1
220,500,500,1
230,500,500,1
240,500,500,1
250,500,500,1
260,500,500,1
270,500,500,1
280,500,500,1
290,500,500,1
300,500,500,1
310,500,500,1
320,500,500,1
330,500,500,1
340,500,500,1
350,500,500,1
360,500,500,1
370,500,500,1
380,500,500,1
390,500,500,1
400,500,500,1
410,500,500,1
420,500,500,1
430,500,500,1
440,500,500,1
450,500,500,1
460,500,500,1
470,500,500,1
480,500,500,1
490,500,500,1
500,500,500,1
510,500,500,1
520,500,500,1
530,500,499,2
540,500,499,2
550,500,499,2
560,500,498,3
570,500,498,3
580,500,498,3
590,500,498,3
600,500,496,5
610,500,496,5
620,500,496,5
630,500,496,5
640,500,496,5
650,500,495,6
660,500,495,6
670,500,495,6
680,500,495,6
690,500,495,6
700,500,494,7
710,500,494,7
720,500,494,7
730,500,494,7
740,500,493,8
750,500,493,8
760,500,490,11
770,500,490,11
780,500,490,11
790,500,489,12
800,500,488,13
810,500,488,13
820,500,487,14
830,500,484,17
840,500,483,18
850,500,483,18
860,500,483,18
870,500,483,18
880,500,483,18
890,500,481,20
900,500,481,20
910,500,480,21
920,500,477,24
930,500,471,30
940,500,469,32
950,500,469,32
960,500,469,32
970,500,468,33
980,500,468,33
990,500,464,37
1000,500,461,40
1010,500,460,41
1020,500,456,45
1030,500,453,48
1040,500,450,51
1050,500,447,54
1060,500,446,55
1070,500,442,59
1080,500,440,61
1090,500,434,67
1100,500,429,72
1110,500,423,78
1120,500,417,84
1130,500,414,87
1140,500,410,91
1150,500,404,97
1160,500,399,102
1170,500,391,110
1180,500,386,115
1190,500,377,124
1200,500,372,129
1210,500,366,135
1220,500,362,139
1230,500,357,144
1240,500,352,149
1250,500,342,159
1260,500,334,167
1270,500,328,173
1280,500,319,182
1290,500,312,189
1300,500,300,201
1310,500,291,210
1320,500,284,217
1330,500,280,221
1340,500,275,226
1350,500,267,234
1360,500,263,238
1370,500,258,243
1380,500,253,248
1390,500,240,261
1400,500,234,267
1410,500,228,273
1420,500,223,278
1430,500,213,288
1440,500,204,297
1450,500,202,299
1460,500,195,306
1470,500,190,311
1480,500,186,315
1490,500,178,323
1500,500,171,330
1510,500,165,336
1520,500,159,342
1530,500,150,351
1540,500,144,357
1550,500,144,357
1560,500,138,363
1570,500,126,375
1580,500,122,379
1590,500,120,381
1600,500,114,387
1610,500,109,392
1620,500,101,400
1630,500,95,406
1640,500,95,406
1650,500,89,412
1660,500,83,418
1670,500,78,423
1680,500,74,427
1690,500,71,430
1700,500,65,436
1710,500,60,441
1720,500,57,444
1730,500,56,445
1740,500,55,446
1750,500,54,447
1760,500,53,448
1770,500,50,451
1780,500,48,453
1790,500,43,458
1800,500,42,459
1810,500,39,462
1820,500,36,465
1830,500,34,467
1840,500,34,467
1850,500,33,468
1860,500,32,469
1870,500,31,470
1880,500,29,472
1890,500,29,472
1900,500,28,473
1910,500,27,474
1920,500,26,475
1930,500,24,477
1940,500,21,480
1950,500,21,480
1960,500,19,482
1970,500,17,484
1980,500,17,484
1990,500,15,486
2000,500,14,487
2010,500,14,487
2020,500,13,488
2030,500,13,488
2040,500,13,488
2050,500,13,488
2060,500,13,488
2070,500,13,488
2080,500,11,490
2090,500,10,491
2100,500,9,492
2110,500,6,495
2120,500,6,495
2130,500,6,495
2140,500,6,495
2150,500,6,495
2160,500,6,495
2170,500,6,495
2180,500,6,495
2190,500,6,495
2200,500,6,495
2210,500,6,495
2220,500,6,495
2230,500,6,495
2240,500,6,495
2250,500,6,495
2260,500,6,495
2270,500,6,495
2280,500,6,495
2290,500,6,495
2300,500,5,496
2310,500,4,497
2320,500,4,497
2330,500,4,497
2340,500,4,497
2350,500,4,497
2360,500,4,497
2370,500,3,498
2380,500,3,498
2390,500,3,498
2400,500,2,499
2410,500,2,499
2420,500,2,499
2430,500,2,499
2440,500,2,499
2450,500,2,499
2460,500,2,499
2470,500,2,499
2480,500,2,499
2490,500,2,499
2500,500,2,499
2510,500,2,499
2520,500,2,499
2530,500,2,499
2540,500,2,499
2550,500,2,499
2560,500,1,500
2570,500,1,500
2580,500,1,500
2590,500,1,500
2600,500,1,500
2610,500,1,500
2620,500,1,500
2630,500,1,500
2640,500,1,500
2650,500,1,500
2660,500,1,500
2670,500,1,500
2680,500,1,500
2690,500,1,500
2700,500,1,500
2710,500,1,500
2720,500,1,500
2730,500,1,500
2740,500,1,500
2750,500,1,500
2760,500,1,500
2770,500,1,500
2780,500,1,500
2790,500,1,500
2800,500,1,500
2810,500,1,500
2820,500,1,500
2830,500,1,500
2840,500,1,500
2850,500,1,500
2860,500,1,500
2870,500,1,500
2880,500,1,500
2890,500,1,500
2900,500,1,500
2910,500,1,500
2920,500,1,500
2930,500,1,500
2940,500,1,500
2950,500,0,501
2960,500,0,501
2970,500,0,501
2980,500,0,501
2990,500,0,501
3000,500,0,501
3010,500,0,501
3020,500,0,501
3030,500,0,501
3040,500,0,501
3050,500,0,501
3060,500,0,501
3070,500,0,501
3080,500,0,501
3090,500,0,501
3100,500,0,501
3110,500,0,501
3120,500,0,501
3130,500,0,501
3140,500,0,501
3150,500,0,501
3160,500,0,501
3170,500,0,501
3180,500,0,501
3190,500,0,501
3200,500,0,501
3210,500,0,501
3220,500,0,501
3230,500,0,501
3240,500,0,501
3250,500,0,501
3260,500,0,501
3270,500,0,501
3280,500,0,501
3290,500,0,501
3300,500,0,501
3310,500,0,501
3320,500,0,501
3330,500,0,501
3340,500,0,501
3350,500,0,501
3360,500,0,501
3370,500,0,501
3380,500,0,501
3390,500,0,501
3400,500,0,501
3410,500,0,501
3420,500,0,501
3430,500,0,501
3440,500,0,501
3450,500,0,501
3460,500,0,501
3470,500,0,501
3480,500,0,501
3490,500,0,501
3500,500,0,501
3510,500,0,501
3520,500,0,501
3530,500,0,501
3540,500,0,501
3550,500,0,501
3560,500,0,501
3570,500,0,501
3580,500,0,501
3590,500,0,501
3600,500,0,501
3610,500,0,501
3620,500,0,501
3630,500,0,501
3640,500,0,501
3650,500,0,501
3660,500,0,501
3670,500,0,501
3680,500,0,501
3690,500,0,501
3700,500,0,501
3710,500,0,501
3720,500,0,501
3730,500,0,501
3740,500,0,501
3750,500,0,501
3760,500,0,501
3770,500,0,501
3780,500,0,501
3790,500,0,501
3800,500,0,501
3810,500,0,501
3820,500,0,501
3830,500,0,501
3840,500,0,501
3850,500,0,501
3860,500,0,501
3870,500,0,501
3880,500,0,501
3890,500,0,501
3900,500,0,501
3910,500,0,501
3920,500,0,501
3930,500,0,501
3940,500,0,501
3950,500,0,501
3960,500,0,501
3970,500,0,501
3980,500,0,501
3990,500,0,501
4000,500,0,501
4010,500,0,501
4020,500,0,501
4030,500,0,501
4040,500,0,501
4050,500,0,501
4060,500,0,501
4070,500,0,501
4080,500,0,501
4090,500,0,501
4100,500,0,501
4110,500,0,501
4120,500,0,501
4130,500,0,501
4140,500,0,501
4150,500,0,501
4160,500,0,501
4170,500,0,501
4180,500,0,501
4190,500,0,501
4200,500,0,501
4210,500,0,501
4220,500,0,501
4230,500,0,501
4240,500,0,501
4250,500,0,501
4260,500,0,501
4270,500,0,501
4280,500,0,501
4290,500,0,501
